id;type;title;description;town;zone;price;surface;rooms;bathrooms;floor;longitude;latitude;url;exact_position;recently_date;is_promo;image_url;owner_name;old_price
97509590391.101800;Apartam;Apartamento en Centre - La Seu - Cort - Monti-Sión;Apartamento reformado en centro histórico salón comedor con cocina integrada amueblada, 2 habitaciones dobles, armarios, 2 baños (...;Distrito Centre. Palma de Mallorca;Sant Nicolau;378.000 €;;2 habs.;2 baños;72 m²;2.6506691;39.5712305;/comprar/apartamento-sant_nicolau07002-97509590391_101800/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/646/1018_17801646_1_2021092913094470019.jpg;BALEAR INVEST;
97552948185.101800;Piso ;Piso en Centre - Sant Nicolau;Piso en centro histórico, 125m² aprox., salón comedor con cocina abierta amueblada, 4 habitaciones dobles, armarios, vestidor, 3 b...;Distrito Centre. Palma de Mallorca;Sant Nicolau;690.000 €;;4 habs.;3 baños;125 m²;2.6504385;39.5706744;/comprar/piso-sant_nicolau07001-97552948185_101800/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/863/1018_18442863_0_2021092913095933994.jpg;BALEAR INVEST;
18381351697.106700;Piso ;Piso en Santa Catalina;"Si quieres vivir cerca del centro de palma y buscas comprar buen piso en el centro de la ciudad, esta es tu oportunidad.
 
Es una ...";Distrito Centre. Palma de Mallorca;Cort;339.000 €;;4 habs.;2 baños;152 m²;2.6507942;39.5705217;/comprar/piso-cort07001-18381351697_106700/;False;Hace 1 semana;;https://fotos.imghs.net/mm/1067/860/1067_IFC76129-0518998860_1_2021102010230031250.jpg;SKY SOLUTIONS;
13355674677.100500;Ático ;Ático en Plaça dels Patins;"Ático a estrenar en el centro de palma. Acabados de primera calidad

 Ático de 131 m² con terraza solárium de 145 m². Las fotos so...";Distrito Centre. Palma de Mallorca;Plaça dels Patins;1.200.000 €;131 m²;3 habs.;2 baños;5ª planta;2.6481744;39.5754101;/comprar/atico-placa_dels_patins07012-13355674677_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/592/1005_117792104592_1_2021103001103022050.jpg;MCM PROPERTIES;
18346766423.106700;Piso ;Piso en Bons Aires;"''si quieres vivir cerca del centro de palma y buscas comprar buen piso en el centro de la ciudad, esta es tu oportunidad.
Es una ...";Distrito Centre. Palma de Mallorca;Cort;218.000 €;;4 habs.;2 baños;136 m²;2.6507942;39.5705217;/comprar/piso-cort07001-18346766423_106700/;False;Hace 5 días;;https://fotos.imghs.net/mm/1067/870/1067_IFC76129-0518998870_1_2021102010230031250.jpg;SKY SOLUTIONS;229.000 €
17564835074.101800;Piso ;Piso en Centre - Cort;En la ciudad de palma se ubica este piso con carácter marroquín de 126 metros cuadrados cerca del centro histórico de la ciudad mu...;Distrito Centre. Palma de Mallorca;Cort;525.000 €;110 m²;2 habs.;2 baños;;2.6515128;39.5708208;/comprar/piso-cort07001-17564835074_101800/;False;Hace 1 mes;;https://fotos.imghs.net/mm/1018/847/1018_29086847_0_2021092909091711138.jpg;INMOMALIA;
18371313747.106700;Piso ;Piso en Camp Redó;"Si quieres vivir en un piso amplio y luminoso en palma esta es tu oportunidad. 

Es una ocasión que no debes dejar pasar, compra a...";Distrito Centre. Palma de Mallorca;Cort;177.000 €;;3 habs.;1 baño;97 m²;2.6507942;39.5705217;/comprar/piso-cort07001-18371313747_106700/;False;Hace 1 semana;;https://fotos.imghs.net/mm/1067/866/1067_IFC76129-0518998866_1_2021102010230031250.jpg;SKY SOLUTIONS;
18338911803.100500;Piso ;Piso en Carrer d'Alfons 'El Magnanim';Estupendo piso en calle d´alfons el magnànim, en una de las zonas más demandadas de palma por su cercanía a todos los servicios co...;Distrito Centre. Palma de Mallorca;Sant Nicolau;195.000 €;;4 habs.;2 baños;1ª planta;2.6530913;39.5835116;/comprar/piso-sant_nicolau07001-18338911803_100500/;False;Hace 5 días;;https://fotos.imghs.net/mm/1005/082/1005_3296082_1_2021102717102771405.jpg;VIA BLAVA;
18372764696.100500;Piso ;Piso en Jaume III;"Estupenda vivienda en bonaire de palma de mallorca

(3 dormitorios, 3 baños, salon, sup const 150 m², 2 balcones)

En el barrio de...";Distrito Centre. Palma de Mallorca;Jaume III;650.000 €;;3 habs.;3 baños;150 m²;2.6439499;39.5738264;/comprar/piso-jaume_iii-18372764696_100500/;False;Hace 3 días;;https://fotos.imghs.net/mm/1005/493/1005_95734493_1_2021102822103350672.jpg;DOMO PLAN;
5883560135.516955;Piso ;Piso en Mercat;"Amplia vivienda en zona palma avenidas , calle mateo enric llado , piso 1º disribuido:
Recibidor , salon comedor luminoso , cuatro...";Distrito Centre. Palma de Mallorca;Mercat;260.000 €;112 m²;4 habs.;2 baños;1ª planta;2.6561453;39.5711486;/comprar/piso-mercat-5883560135_516955/;False;Hace 1 mes;;https://fotos.imghs.net/mm/516955/5883560135.516955/516955_5883560135_5_20200712231108506.jpg;INSTITUTO  HIPOTECARIO;298.500 €
18396914348.100500;Piso ;Piso en La Missió;"Elegante y amplia planta baja en palma de mallorca, a 2 minutos del convento de las carmelitas descalzas en las ramblas

 Consta d...";Distrito Centre. Palma de Mallorca;La Missió;695.000 €;;;2 baños;Bajo;2.6500381;39.5737141;/comprar/piso-la_missio07003-18396914348_100500/;False;Hace 3 semanas;;https://fotos.imghs.net/mm/1005/074/1005_131127237074_1_2021100602101302879.jpg;RED Real Estate Disruptive;
6704880821.521446;Chalet unifamiliar ;Chalet unifamiliar en Cort;"* el precio no incluye el terreno.

Desde alfainmosoluciones presentamos el proyecto howu. Un proyecto de viviendas modulares dise...";Distrito Centre. Palma de Mallorca;Cort;168.080 €;;2 habs.;1 baño;97 m²;2.655345;39.5728295;/comprar/chalet_unifamiliar-cort07002-6704880821_521446/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/521446/6704880821.521446/521446_6704880821_2_20200803135728508.jpg;ALFAINMO SOLUCIONES 2;
16748082819.106700;Finca rústica ;Finca rústica en Cort;Maravillosa propiedad de 231 m² construidos y original del siglo xx, está distribuida en 4 dormitorios, 2 baños, salón, cocina y u...;Distrito Centre. Palma de Mallorca;Cort;1.100.000 €;231 m²;4 habs.;2 baños;;2.6507942;39.5705217;/comprar/finca_rustica-cort07001-16748082819_106700/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1067/205/1067_IFC76096-0518823205_1_2021083110222931250.jpg;IIC MALLORCA;
17500427097.100500;Piso ;Piso en Cort;Se vende bonito tercer piso sin ascensor en la zona nou llevant, palma, cerca del palacio de los congresos, gran hotel melia, a 5 ...;Distrito Centre. Palma de Mallorca;Cort;175.000 €;;3 habs.;1 baño;3ª planta;2.6663617;39.5646269;/comprar/piso-cort07001-17500427097_100500/;False;Hace 1 mes;;https://fotos.imghs.net/mm/1005/103/1005_126035198103_1_2021090909090991544.jpg;INMOBILIARIA OSA;
18368561922.519789;Piso ;Piso en calle calle Rosello Porcel;Altura piso 1º, piso superficie total 235 m², superficie útil 235 m², habitaciones dobles: 3, 2 baños, adaptado a personas con dis...;Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;750.000 €;;3 habs.;2 baños;1ª planta;2.6477612;39.5677159;/comprar/piso-la_seu_monti_sion_puerto07013-18368561922_519789/;False;Hace 4 días;;https://fotos.imghs.net/mm/519789/18368561922.519789/519789_18368561922_11_20211028155918730.jpg;SANDBERG ESTATES;
10919411257.109300;Piso ;Piso en Carrer de Cannes;"¡ Junto a la playa ! Excelente piso en palma de mallorca. 
Bonito y luminoso piso de 96 m² distribuidos en 2 habitaciones, 1 cuart...";Distrito Platja de Palma. Palma de Mallorca;S'Arenal;142.500 €;104 m²;;;5ª planta;2.7530622;39.5071875;/comprar/piso-platja_de_palma_sarenal07600-10919411257_109300/;False;Hace 2 semanas;;https://fotos.imghs.net/mm/1093/025/1093_EP618-4764-2025_14_2021021705361131250.jpg;Vivantial;144.000 €
